"effect_size","true_effect","Median","CI.lb","CI.ub","Mean"
"lnRR*","cMAOM",0.306,0.275,0.341,0.567
"lnRR*","cESSP",0.286,0.264,0.312,0.558
"lnRR*","MAOM",0.326,0.295,0.361,0.605
"lnRR*","ESSP",0.3,0.277,0.326,0.585
"lnRR","cMAOM",0.444,0.403,0.491,0.824
"lnRR","cESSP",0.363,0.33,0.401,0.709
"lnRR","MAOM",0.462,0.419,0.509,0.856
"lnRR","ESSP",0.371,0.338,0.409,0.724
"SMD","cMAOM",0.197,0.182,0.214,0.366
"SMD","cESSP",0.191,0.174,0.21,0.372
"SMD","MAOM",0.327,0.296,0.361,0.606
"SMD","ESSP",0.245,0.223,0.269,0.477
"SMDH","cMAOM",0.181,0.165,0.2,0.336
"SMDH","cESSP",0.172,0.158,0.187,0.335
"SMDH","MAOM",0.284,0.257,0.313,0.526
"SMDH","ESSP",0.219,0.2,0.24,0.427
"lnVR","MAOM",0.107,0.1,0.115,0.199
"lnVR","ESSP",0.179,0.164,0.196,0.349
"lnCVR","MAOM",0.068,0.064,0.072,0.126
"lnCVR","ESSP",0.107,0.099,0.116,0.209
