"MA_case","mu_CVR","SE_CVR","p_value","MA.power"
"m1_1",0.457089038940116,0.0660942233429962,4.65498151868925e-12,0.999999639749191
"m1_2",0.23708555376409,0.0914477165780144,0.00952589244622313,0.736510553914929
"m2_1",-0.147739006780821,0.0706493717522056,0.0365138929388979,0.552214615220008
"m2_2",-0.159293047836157,0.0658708356488415,0.0155947726316751,0.676637402326946
"m5_1",0.0495211567385298,0.108532874080861,0.648190121613858,0.0741719318005853
"m6_1",0.19286117893048,0.0696803999153572,0.005643665361644,0.790407682201119
"m6_2",0.405891748038828,0.113387067960574,0.000343988184167374,0.947355574766394
"m6_3",0.223454973871175,0.107041217131649,0.0368375344295375,0.550791578166986
"m6_4",0.221423238165885,0.0961740929764146,0.0213173082923805,0.633967452969852
"m6_5",0.14616006293775,0.118618431744607,0.21787932211896,0.234081077097203
"m9_1",0.0921939399721127,0.0878955712587178,0.294222703947143,0.182442774668237
"m11_1",-0.188362818159306,0.310137442897822,0.543616861102755,0.0932143731967515
