"MA_case","mu_RR","SE_RR","p_value","MA.power"
"m1_1",-0.303339522756604,0.0297664385526002,2.18287196669531e-24,1
"m1_2",-0.281030846361942,0.0698234477406129,5.7004903371032e-05,0.980534424359023
"m2_1",0.624493879205995,0.0618672416388429,5.86691036308807e-24,1
"m2_2",0.563202040845238,0.0477628333538188,4.31074402936247e-32,1
"m3_1",0.071449836770106,0.0332597695280896,0.0316950061751604,0.574688256663194
"m4_1",-0.17475736771057,0.0767309754400504,0.0227543859843632,0.62460555395999
"m5_1",0.614235134422731,0.12251875347827,5.34774375016679e-07,0.998868803368445
"m6_1",-0.31515069467717,0.12985257375982,0.0152247411989242,0.679764554762734
"m6_2",-0.489331659916264,0.277199880363997,0.0775189885284756,0.422912455258276
"m6_3",-0.485811278606089,0.154030493722833,0.00161052305295127,0.883767076691282
"m6_4",-0.212459319874228,0.154720984937259,0.169697283966708,0.279102794093075
"m6_5",0.053662102402195,0.153082290736009,0.725930357994591,0.0641923053974803
"m7_1",0.088828361886831,0.0340869601962323,0.00916241669747932,0.740853036566832
"m7_2",0.1503532506576,0.0647887818561179,0.0203047708623873,0.640848944421893
"m8_1",0.0206043273809476,0.0337050823610487,0.540992928929187,0.0937906409416465
"m9_1",0.287216649680991,0.203272970377427,0.157667379346113,0.292559993396246
"m10_1",-0.797139908249877,0.145223957941727,4.04127350928936e-08,0.999791492219285
"m11_1",0.205148067493953,0.0996886553099942,0.0396009051946493,0.539032970859582
"m12_1",-0.37235328260901,0.141850820910683,0.00866581571865599,0.746976993835088
"m13_1",0.0916286821796462,0.0880450908327735,0.298013979864207,0.180326169627941
"m13_2",0.0945372096177121,0.0880450909106689,0.282940889713579,0.188955294016364
"m14_1",0.111125168174041,0.0318917796044425,0.000493157870920586,0.936305791488012
"m14_2",0.0845578388473058,0.0370547255831939,0.0224910051997421,0.626287693240206
"m14_3",0.0462511049617312,0.0588677799700417,0.432056301141289,0.123159831422042
"m15_1",-0.500550348531446,0.0998834052723735,5.40505028888868e-07,0.998861048949077
"m16_1",-0.496212049525797,0.105211088143341,2.4011622394124e-06,0.99707777848306
"m16_2",0.419148216029129,0.233759262786498,0.0729607095879437,0.433816600195026
"m17_1",0.0566896628007087,0.111803398956016,0.612121309271026,0.0799358020400109
"m17_2",-0.0572078358363835,0.0995037190865735,0.565337534283501,0.0886453296746593
"m18_1",-0.200272150882953,0.108819625379585,0.0657088427729319,0.452488380953933
"m19_1",-0.422506165534246,0.117041147221709,0.000306321852082088,0.95052141392413
"m20_1",-0.213573620444919,0.0977810480696271,0.0289473632016841,0.58873123783159
"m21_1",-0.623331554869488,0.085912908669606,4.00509716190736e-13,0.999999940629978
"m22_1",-0.323304593259929,0.0735880222463635,1.11570763258972e-05,0.99252269623446
"m23_1",0.904273959440786,0.0954965629862303,2.82054289897712e-21,0.99999999999997
"m24_1",0.318911998191515,0.149722813009577,0.0331702864256704,0.567536984235406
